job_id,state,city,job_type,quoted_price,estimated_total_cost,estimated_margin_pct,target_margin_pct
J037,MA,Worcester,Paver Patio,9714.0,6888.73,0.291,0.25
J051,RI,Warwick,Walkway,4469.63,3106.14,0.305,0.25
J027,MA,Newton,Walkway,4747.92,3264.86,0.312,0.25
J060,MA,Newton,Paver Patio,14644.67,9983.76,0.318,0.25
J038,MA,Weymouth,Walkway,7554.4,5072.12,0.329,0.25
J028,RI,Newport,Paver Patio,10003.95,6630.58,0.337,0.25
J008,MA,Braintree,Paver Patio,18459.99,12209.08,0.339,0.25
J043,RI,Cranston,Paver Patio,7068.4,4642.52,0.343,0.25
J018,MA,Boston,Paver Patio,12612.63,8276.65,0.344,0.25
J052,MA,Braintree,Paver Patio,11217.73,7332.34,0.346,0.25
J016,MA,Weymouth,Paver Patio,17174.41,11217.02,0.347,0.25
J023,RI,Warwick,Paver Patio,6135.65,4002.37,0.348,0.25
J009,MA,Worcester,Paver Patio,8145.12,5301.99,0.349,0.25
J004,MA,Boston,Paver Patio,18430.87,11821.34,0.359,0.25
J010,RI,Newport,Paver Patio,6593.31,4178.79,0.366,0.25
