job_id,state,city,job_type,quoted_price,estimated_total_cost,actual_total_cost,cost_variance,estimated_margin_pct,actual_margin_pct,margin_variance,change_order_flag
J008,MA,Braintree,Paver Patio,18459.99,12209.08,15006.93,2797.85,0.339,0.187,-0.152,Yes
J002,MA,Boston,Paver Patio,19265.91,10941.12,13502.52,2561.4,0.432,0.299,-0.133,No
J054,MA,Quincy,Paver Patio,15126.54,9582.52,11597.5,2014.98,0.367,0.233,-0.134,No
J032,RI,Providence,Paver Patio,20631.44,11662.25,13520.45,1858.2,0.435,0.345,-0.09,Yes
J019,MA,Framingham,Paver Patio,16542.8,10479.61,12330.15,1850.54,0.367,0.255,-0.112,No
J033,RI,Cranston,Paver Patio,14226.12,8132.42,9716.93,1584.51,0.428,0.317,-0.111,No
J041,RI,Cranston,Walkway,8838.98,4629.56,6090.16,1460.6,0.476,0.311,-0.165,Yes
J005,RI,Warwick,Paver Patio,14473.18,7366.15,8819.79,1453.64,0.491,0.391,-0.1,Yes
J040,MA,Boston,Small Retaining Wall,18204.49,10028.51,11387.8,1359.29,0.449,0.374,-0.075,No
J029,MA,Braintree,Paver Patio,15899.98,9204.77,10503.36,1298.59,0.421,0.339,-0.082,No
J011,RI,Providence,Paver Patio,20742.3,12007.64,13224.94,1217.3,0.421,0.362,-0.059,Yes
J034,MA,Boston,Paver Patio,18786.11,10074.4,11086.19,1011.79,0.464,0.41,-0.054,No
J045,MA,Quincy,Paver Patio,9275.83,5623.28,6608.56,985.28,0.394,0.288,-0.106,No
J010,RI,Newport,Paver Patio,6593.31,4178.79,5150.79,972.0,0.366,0.219,-0.147,Yes
J026,MA,Newton,Paver Patio,10359.9,5818.79,6762.26,943.47,0.438,0.347,-0.091,No
J047,RI,Warwick,Small Retaining Wall,11446.69,5894.72,6802.07,907.35,0.485,0.406,-0.079,No
J016,MA,Weymouth,Paver Patio,17174.41,11217.02,12047.93,830.91,0.347,0.298,-0.049,No
J006,MA,Quincy,Small Retaining Wall,14949.07,7389.31,8206.72,817.41,0.506,0.451,-0.055,No
J022,MA,Worcester,Paver Patio,17293.86,9796.81,10480.87,684.06,0.434,0.394,-0.04,No
J056,MA,Braintree,Walkway,10396.62,5719.25,6397.5,678.25,0.45,0.385,-0.065,No
J027,MA,Newton,Walkway,4747.92,3264.86,3941.02,676.16,0.312,0.17,-0.142,No
J057,MA,Weymouth,Walkway,4299.28,2420.21,3048.54,628.33,0.437,0.291,-0.146,No
J058,MA,Quincy,Paver Patio,16285.58,8840.68,9449.46,608.78,0.457,0.42,-0.037,No
J004,MA,Boston,Paver Patio,18430.87,11821.34,12360.59,539.25,0.359,0.329,-0.03,No
J035,RI,Warwick,Paver Patio,11126.96,6665.39,7203.97,538.58,0.401,0.353,-0.048,No
J059,MA,Newton,Walkway,8279.95,4528.77,5065.77,537.0,0.453,0.388,-0.065,No
J036,MA,Braintree,Walkway,3209.23,1829.8,2366.4,536.6,0.43,0.263,-0.167,No
J018,MA,Boston,Paver Patio,12612.63,8276.65,8784.77,508.12,0.344,0.303,-0.041,No
J050,MA,Weymouth,Paver Patio,8524.67,4688.34,5188.36,500.02,0.45,0.391,-0.059,No
J048,MA,Braintree,Paver Patio,11664.47,6949.52,7314.22,364.7,0.404,0.373,-0.031,No
J017,MA,Boston,Small Retaining Wall,25957.94,11729.59,12064.24,334.65,0.548,0.535,-0.013,No
J030,MA,Weymouth,Walkway,6950.36,4239.74,4539.51,299.77,0.39,0.347,-0.043,No
J024,MA,Braintree,Paver Patio,11094.02,7002.67,7283.08,280.41,0.369,0.344,-0.025,No
J053,MA,Quincy,Walkway,6207.46,3722.19,4001.51,279.32,0.4,0.355,-0.045,No
J038,MA,Weymouth,Walkway,7554.4,5072.12,5338.92,266.8,0.329,0.293,-0.036,No
J021,MA,Newton,Paver Patio,10219.78,5940.56,6169.97,229.41,0.419,0.396,-0.023,No
J015,MA,Worcester,Small Retaining Wall,10656.54,5721.77,5949.26,227.49,0.463,0.442,-0.021,No
J012,MA,Quincy,Small Retaining Wall,17193.05,10064.84,10275.6,210.76,0.415,0.402,-0.013,No
J020,RI,Providence,Small Retaining Wall,11745.52,6435.38,6637.1,201.72,0.452,0.435,-0.017,No
J007,RI,Providence,Walkway,11102.64,6109.65,6289.08,179.43,0.45,0.434,-0.016,No
J023,RI,Warwick,Paver Patio,6135.65,4002.37,4134.28,131.91,0.348,0.326,-0.022,No
J044,RI,Warwick,Walkway,7206.57,4277.8,4341.26,63.46,0.406,0.398,-0.008,No
J001,MA,Newton,Paver Patio,7634.1,4622.43,4569.79,-52.64,0.395,0.401,0.006,No
J052,MA,Braintree,Paver Patio,11217.73,7332.34,7266.46,-65.88,0.346,0.352,0.006,No
J013,MA,Framingham,Paver Patio,17108.49,10571.37,10470.05,-101.32,0.382,0.388,0.006,No
J037,MA,Worcester,Paver Patio,9714.0,6888.73,6787.24,-101.49,0.291,0.301,0.01,No
J028,RI,Newport,Paver Patio,10003.95,6630.58,6514.15,-116.43,0.337,0.349,0.012,No
J055,RI,Providence,Paver Patio,12005.0,7016.84,6851.18,-165.66,0.416,0.429,0.013,No
J043,RI,Cranston,Paver Patio,7068.4,4642.52,4463.09,-179.43,0.343,0.369,0.026,No
J042,RI,Warwick,Small Retaining Wall,12946.33,6802.04,6614.05,-187.99,0.475,0.489,0.014,No
J031,MA,Weymouth,Walkway,6659.81,3766.07,3570.58,-195.49,0.435,0.464,0.029,No
J046,RI,Warwick,Walkway,5147.89,3241.15,3042.47,-198.68,0.37,0.409,0.039,No
J049,MA,Quincy,Paver Patio,4867.93,3070.75,2792.36,-278.39,0.369,0.426,0.057,No
J009,MA,Worcester,Paver Patio,8145.12,5301.99,4999.67,-302.32,0.349,0.386,0.037,No
J051,RI,Warwick,Walkway,4469.63,3106.14,2456.67,-649.47,0.305,0.45,0.145,No
J014,MA,Weymouth,Paver Patio,12614.73,7093.32,6441.02,-652.3,0.438,0.489,0.051,No
J039,RI,Pawtucket,Paver Patio,11578.31,6658.71,5918.47,-740.24,0.425,0.489,0.064,No
J060,MA,Newton,Paver Patio,14644.67,9983.76,9163.33,-820.43,0.318,0.374,0.056,No
J003,MA,Worcester,Small Retaining Wall,10142.56,6050.34,5199.11,-851.23,0.403,0.487,0.084,No
J025,MA,Newton,Paver Patio,16305.89,10332.89,8897.11,-1435.78,0.366,0.454,0.088,No
