job_id,state,city,job_type,risk_score,risk_category,drainage_concern,demo_required,access_width_ft,carry_distance_ft,estimated_total_cost,actual_total_cost,cost_variance,change_order_flag
J008,MA,Braintree,Paver Patio,65,High Risk,Yes,No,4.8,99,12209.08,15006.93,2797.85,Yes
J002,MA,Boston,Paver Patio,22,Low Risk,No,Yes,6.7,24,10941.12,13502.52,2561.4,No
J054,MA,Quincy,Paver Patio,57,Needs Review,Yes,Yes,3.7,13,9582.52,11597.5,2014.98,No
J032,RI,Providence,Paver Patio,77,High Risk,Yes,No,3.9,46,11662.25,13520.45,1858.2,Yes
J019,MA,Framingham,Paver Patio,20,Low Risk,No,No,7.5,70,10479.61,12330.15,1850.54,No
J033,RI,Cranston,Paver Patio,57,Needs Review,Yes,Yes,5.1,85,8132.42,9716.93,1584.51,No
J041,RI,Cranston,Walkway,69,High Risk,Yes,Yes,4.9,91,4629.56,6090.16,1460.6,Yes
J005,RI,Warwick,Paver Patio,82,High Risk,Yes,Yes,3.6,49,7366.15,8819.79,1453.64,Yes
J040,MA,Boston,Small Retaining Wall,57,Needs Review,Yes,No,4.9,69,10028.51,11387.8,1359.29,No
J029,MA,Braintree,Paver Patio,35,Needs Review,No,No,9.6,93,9204.77,10503.36,1298.59,No
J011,RI,Providence,Paver Patio,87,High Risk,Yes,Yes,4.9,105,12007.64,13224.94,1217.3,Yes
J034,MA,Boston,Paver Patio,52,Needs Review,Yes,No,6.9,66,10074.4,11086.19,1011.79,No
J045,MA,Quincy,Paver Patio,50,Needs Review,Yes,No,9.8,121,5623.28,6608.56,985.28,No
J010,RI,Newport,Paver Patio,78,High Risk,Yes,No,5.3,138,4178.79,5150.79,972.0,Yes
J026,MA,Newton,Paver Patio,35,Needs Review,Yes,No,4.1,57,5818.79,6762.26,943.47,No
J047,RI,Warwick,Small Retaining Wall,44,Needs Review,Yes,Yes,8.4,15,5894.72,6802.07,907.35,No
J016,MA,Weymouth,Paver Patio,35,Needs Review,No,No,5.4,63,11217.02,12047.93,830.91,No
J006,MA,Quincy,Small Retaining Wall,47,Needs Review,No,No,3.5,72,7389.31,8206.72,817.41,No
J022,MA,Worcester,Paver Patio,12,Low Risk,No,Yes,8.0,35,9796.81,10480.87,684.06,No
J056,MA,Braintree,Walkway,32,Needs Review,Yes,Yes,8.4,28,5719.25,6397.5,678.25,No
J027,MA,Newton,Walkway,37,Needs Review,No,Yes,5.5,78,3264.86,3941.02,676.16,No
J057,MA,Weymouth,Walkway,32,Needs Review,Yes,Yes,6.7,19,2420.21,3048.54,628.33,No
J058,MA,Quincy,Paver Patio,24,Low Risk,No,Yes,6.3,58,8840.68,9449.46,608.78,No
J004,MA,Boston,Paver Patio,35,Needs Review,No,No,4.3,63,11821.34,12360.59,539.25,No
J035,RI,Warwick,Paver Patio,25,Low Risk,No,No,7.8,16,6665.39,7203.97,538.58,No
J059,MA,Newton,Walkway,45,Needs Review,Yes,No,8.1,20,4528.77,5065.77,537.0,No
J036,MA,Braintree,Walkway,34,Needs Review,No,Yes,9.0,80,1829.8,2366.4,536.6,No
J018,MA,Boston,Paver Patio,30,Low Risk,No,No,8.0,124,8276.65,8784.77,508.12,No
J050,MA,Weymouth,Paver Patio,57,Needs Review,Yes,Yes,9.4,10,4688.34,5188.36,500.02,No
J048,MA,Braintree,Paver Patio,45,Needs Review,No,No,4.3,105,6949.52,7314.22,364.7,No
J017,MA,Boston,Small Retaining Wall,47,Needs Review,No,Yes,9.8,63,11729.59,12064.24,334.65,No
J030,MA,Weymouth,Walkway,59,Needs Review,Yes,Yes,4.4,55,4239.74,4539.51,299.77,No
J024,MA,Braintree,Paver Patio,43,Needs Review,No,No,3.3,110,7002.67,7283.08,280.41,No
J053,MA,Quincy,Walkway,12,Low Risk,No,No,6.9,51,3722.19,4001.51,279.32,No
J038,MA,Weymouth,Walkway,10,Low Risk,No,No,6.7,70,5072.12,5338.92,266.8,No
J021,MA,Newton,Paver Patio,12,Low Risk,No,No,9.6,33,5940.56,6169.97,229.41,No
J015,MA,Worcester,Small Retaining Wall,22,Low Risk,No,Yes,6.8,99,5721.77,5949.26,227.49,No
J012,MA,Quincy,Small Retaining Wall,45,Needs Review,No,No,3.3,63,10064.84,10275.6,210.76,No
J020,RI,Providence,Small Retaining Wall,43,Needs Review,No,No,3.1,104,6435.38,6637.1,201.72,No
J007,RI,Providence,Walkway,42,Needs Review,Yes,No,6.1,71,6109.65,6289.08,179.43,No
J023,RI,Warwick,Paver Patio,42,Needs Review,No,Yes,8.6,101,4002.37,4134.28,131.91,No
J044,RI,Warwick,Walkway,35,Needs Review,Yes,No,4.9,41,4277.8,4341.26,63.46,No
